0 0
0.01 0.0118838
0.02 0.0237664
0.03 0.0356466
0.04 0.0475232
0.05 0.0593951
0.06 0.071261
0.07 0.0831199
0.08 0.0949704
0.09 0.106811
0.1 0.118642
0.11 0.13046
0.12 0.142266
0.13 0.154057
0.14 0.165833
0.15 0.177592
0.16 0.189333
0.17 0.201056
0.18 0.212758
0.19 0.224439
0.2 0.236098
0.21 0.247733
0.22 0.259343
0.23 0.270928
0.24 0.282485
0.25 0.294014
0.26 0.305514
0.27 0.316983
0.28 0.32842
0.29 0.339825
0.3 0.351195
0.31 0.362531
0.32 0.37383
0.33 0.385092
0.34 0.396315
0.35 0.407499
0.36 0.418642
0.37 0.429743
0.38 0.440801
0.39 0.451815
0.4 0.462783
0.41 0.473706
0.42 0.484581
0.43 0.495408
0.44 0.506185
0.45 0.516912
0.46 0.527586
0.47 0.538208
0.48 0.548777
0.49 0.55929
0.5 0.569748
0.51 0.580148
0.52 0.590491
0.53 0.600774
0.54 0.610997
0.55 0.62116
0.56 0.63126
0.57 0.641297
0.58 0.65127
0.59 0.661177
0.6 0.671019
0.61 0.680794
0.62 0.6905
0.63 0.700137
0.64 0.709705
0.65 0.719201
0.66 0.728626
0.67 0.737977
0.68 0.747255
0.69 0.756458
0.7 0.765586
0.71 0.774637
0.72 0.78361
0.73 0.792505
0.74 0.801321
0.75 0.810057
0.76 0.818711
0.77 0.827284
0.78 0.835774
0.79 0.844181
0.8 0.852503
0.81 0.86074
0.82 0.868891
0.83 0.876954
0.84 0.884931
0.85 0.892818
0.86 0.900617
0.87 0.908325
0.88 0.915943
0.89 0.923469
0.9 0.930902
0.91 0.938243
0.92 0.945489
0.93 0.952641
0.94 0.959698
0.95 0.966659
0.96 0.973523
0.97 0.98029
0.98 0.986959
0.99 0.993529
1 1
