0.0628319 1 -0.0628319
0.125664 0.996052 -0.125664
0.188496 0.988156 -0.188248
0.251327 0.976329 -0.250335
0.314159 0.9606 -0.31168
0.376991 0.941016 -0.372036
0.439823 0.91764 -0.431162
0.502655 0.89055 -0.488819
0.565487 0.859836 -0.544774
0.628319 0.825607 -0.598799
0.69115 0.787984 -0.650673
0.753982 0.747101 -0.700184
0.816814 0.703107 -0.747125
0.879646 0.656163 -0.791303
0.942478 0.606444 -0.832531
1.00531 0.554135 -0.870635
1.06814 0.499431 -0.905452
1.13097 0.44254 -0.936832
1.19381 0.383677 -0.964638
1.25664 0.323067 -0.988745
1.31947 0.260942 -1.00904
1.3823 0.197542 -1.02544
1.44513 0.133112 -1.03785
1.50796 0.0679019 -1.04622
1.5708 0.00216631 -1.05048
1.63363 -0.0638374 -1.05062
1.69646 -0.12985 -1.04661
1.75929 -0.19561 -1.03845
1.82212 -0.260858 -1.02616
1.88496 -0.325333 -1.00977
1.94779 -0.388778 -0.989326
2.01062 -0.45094 -0.964898
2.07345 -0.511566 -0.936565
2.13628 -0.570412 -0.904422
2.19911 -0.627239 -0.868582
2.26195 -0.681813 -0.829172
2.32478 -0.733912 -0.786332
2.38761 -0.783318 -0.740219
2.45044 -0.829828 -0.691002
2.51327 -0.873245 -0.638862
2.57611 -0.913386 -0.583995
2.63894 -0.950079 -0.526605
2.70177 -0.983167 -0.46691
2.7646 -1.0125 -0.405135
2.82743 -1.03796 -0.341518
2.89027 -1.05942 -0.276301
2.9531 -1.07678 -0.209736
3.01593 -1.08996 -0.14208
3.07876 -1.09888 -0.0735962
3.14159 -1.10351 -0.00455134
3.20442 -1.10379 0.0647841
3.26726 -1.09972 0.134137
3.33009 -1.09129 0.203235
3.39292 -1.07852 0.271803
3.45575 -1.06145 0.339569
3.51858 -1.04011 0.406261
3.58142 -1.01458 0.471614
3.64425 -0.984953 0.535362
3.70708 -0.951315 0.597248
3.76991 -0.913789 0.657021
3.83274 -0.872507 0.714436
3.89557 -0.827617 0.769257
3.95841 -0.779284 0.821258
4.02124 -0.727682 0.870222
4.08407 -0.673005 0.915943
4.1469 -0.615454 0.95823
4.20973 -0.555247 0.9969
4.27257 -0.49261 1.03179
4.3354 -0.427781 1.06274
4.39823 -0.361007 1.08962
4.46106 -0.292544 1.1123
4.52389 -0.222656 1.13068
4.58673 -0.151614 1.14467
4.64956 -0.0796919 1.1542
4.71239 -0.00717163 1.1592
4.77522 0.0656633 1.15965
4.83805 0.138527 1.15553
4.90088 0.211131 1.14682
4.96372 0.283188 1.13356
5.02655 0.354411 1.11577
5.08938 0.424517 1.0935
5.15221 0.493223 1.06682
5.21504 0.560254 1.03583
5.27788 0.625337 1.00063
5.34071 0.688209 0.961341
5.40354 0.748612 0.9181
5.46637 0.806298 0.871063
5.5292 0.861028 0.820402
5.59203 0.912576 0.766302
5.65487 0.960724 0.708963
5.7177 1.00527 0.648599
5.78053 1.04602 0.585436
5.84336 1.08281 0.519713
5.90619 1.11546 0.451678
5.96903 1.14384 0.381592
6.03186 1.16782 0.309722
6.09469 1.18728 0.236346
6.15752 1.20213 0.161747
6.22035 1.21229 0.0862153
6.28319 1.21771 0.0100449
6.34602 1.21834 -0.0664659
